Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Madhya Pradesh,867.78,82,Small,22-12-2021,4,Yogurt,Dodla Dairy,52.62,67.23,3537.6426,24,Refrigerated,02-11-2021,26-11-2021,22,68.09,1497.98,Kerala,Wholesale,30,81.34,118.57
Chandigarh,648.52,99,Small,14-10-2020,7,Lassi,Sudha,653.04,84.6,55247.184,14,Refrigerated,22-08-2020,05-09-2020,345,88.05,30377.25,Karnataka,Online,308,26.65,24.68
Delhi,236.72,81,Large,18-02-2020,3,Cheese,Passion Cheese,12.39,58.28,722.0892,69,Refrigerated,18-01-2020,27-03-2020,1,58.09,58.09,West Bengal,Retail,11,31.99,69.19
Telangana,856,39,Large,26-12-2019,5,Ice Cream,Mother Dairy,612.16,94.43,57806.2688,25,Frozen,15-12-2019,09-01-2020,80,94.32,7545.6,Madhya Pradesh,Online,532,47.95,198.99
Gujarat,182.28,70,Medium,10-04-2022,5,Ice Cream,Dodla Dairy,797.69,88.66,70723.1954,28,Frozen,26-03-2022,23-04-2022,645,93.51,60313.95,Karnataka,Retail,152,83.86,144.3
Kerala,14.97,71,Small,22-02-2020,1,Milk,Mother Dairy,821.52,11.58,9513.2016,1,Polythene Packet,31-01-2020,01-02-2020,778,8.69,6760.82,Gujarat,Retail,43,89.45,28.11
Madhya Pradesh,233.62,95,Large,17-12-2022,10,Ghee,Mother Dairy,663.34,48.83,32390.8922,138,Ambient,26-11-2022,13-04-2023,438,52.79,23122.02,Tamil Nadu,Retail,225,86.28,91.7
Kerala,412.69,88,Medium,24-06-2020,6,Curd,Amul,385.41,26.18,10090.0338,6,Refrigerated,08-05-2020,14-05-2020,270,30.27,8172.9,Madhya Pradesh,Online,115,52.16,20.14
Madhya Pradesh,420.85,25,Large,19-01-2020,8,Buttermilk,Amul,367.14,41.05,15071.097,10,Refrigerated,01-12-2019,11-12-2019,309,40.75,12591.75,West Bengal,Online,58,37.27,79.56
Tamil Nadu,534.5,52,Medium,15-06-2021,1,Milk,Amul,896.89,93.72,84056.5308,28,Tetra Pack,22-05-2021,19-06-2021,486,96.08,46694.88,Telangana,Wholesale,410,26.87,92.23
Jharkhand,705.01,24,Large,19-05-2020,9,Paneer,Raj,88.69,87.53,7763.0357,10,Refrigerated,04-04-2020,14-04-2020,26,87.3,2269.8,Chandigarh,Wholesale,62,31.49,106.59
Bihar,338.45,85,Small,08-08-2022,3,Cheese,Britannia Industries,220.03,13.94,3067.2182,43,Frozen,01-07-2022,13-08-2022,62,14.13,876.06,Telangana,Online,158,29.59,193.62
Gujarat,30.85,41,Large,16-04-2020,4,Yogurt,Amul,524.57,84.48,44315.6736,28,Frozen,04-04-2020,02-05-2020,173,89.32,15452.36,Tamil Nadu,Retail,351,92.88,37.73
Karnataka,395.58,79,Small,03-03-2022,3,Cheese,Britannia Industries,879.11,90.1,79207.811,36,Frozen,04-02-2022,12-03-2022,610,91.05,55540.5,Rajasthan,Online,269,48.9,86.16
Maharashtra,276.44,80,Small,24-10-2021,6,Curd,Sudha,212.56,81.31,17283.2536,5,Refrigerated,26-08-2021,31-08-2021,55,76.37,4200.35,Tamil Nadu,Online,157,18.64,64.06
Rajasthan,551.85,12,Large,17-11-2021,9,Paneer,Sudha,886.35,62.21,55139.8335,8,Refrigerated,23-10-2021,31-10-2021,845,66.7,56361.5,Jharkhand,Wholesale,41,46.25,70.4
Madhya Pradesh,109.69,27,Small,26-07-2022,2,Butter,Warana,430.46,89.64,38586.4344,37,Frozen,05-07-2022,11-08-2022,47,92.96,4369.12,Maharashtra,Wholesale,383,21.55,184.32
Jharkhand,15.88,90,Small,25-09-2022,2,Butter,Warana,440.42,77.46,34114.9332,36,Frozen,20-08-2022,25-09-2022,246,77.53,19072.38,Chandigarh,Retail,194,88.03,53.81
Chandigarh,456.36,45,Medium,24-06-2020,6,Curd,Mother Dairy,565.23,86.39,48830.2197,6,Refrigerated,21-05-2020,27-05-2020,305,84.57,25793.85,Maharashtra,Retail,260,25.75,124.9
Kerala,98.07,87,Small,13-01-2021,7,Lassi,Sudha,101.56,18.99,1928.6244,14,Refrigerated,07-01-2021,21-01-2021,26,21.19,550.94,Tamil Nadu,Retail,75,52.26,113.92
Chandigarh,726.57,57,Large,25-05-2020,9,Paneer,Amul,770.27,80.1,61698.627,7,Refrigerated,02-05-2020,09-05-2020,557,81.76,45540.32,Madhya Pradesh,Retail,213,83.63,79.83
Delhi,509.17,41,Large,27-03-2020,2,Butter,Amul,985.95,92.69,91387.7055,28,Refrigerated,21-02-2020,20-03-2020,56,96.86,5424.16,Rajasthan,Retail,929,37.94,187.73
Bihar,573.99,100,Medium,01-01-2022,9,Paneer,Mother Dairy,595.79,44.3,26393.497,12,Refrigerated,28-11-2021,10-12-2021,137,46.82,6414.34,Madhya Pradesh,Wholesale,458,91.23,73.05
Tamil Nadu,589.36,97,Medium,02-10-2019,10,Ghee,Amul,581.5,43.88,25516.22,136,Ambient,23-08-2019,06-01-2020,86,41.49,3568.14,Delhi,Wholesale,495,54.72,156.21
Karnataka,197.58,65,Small,14-05-2019,4,Yogurt,Dodla Dairy,332.87,97.87,32577.9869,22,Frozen,19-03-2019,10-04-2019,95,101.56,9648.2,Karnataka,Retail,237,75.91,59.2
Bihar,639.32,25,Large,28-04-2022,1,Milk,Raj,652.4,61.24,39952.976,1,Polythene Packet,12-04-2022,13-04-2022,389,65.53,25491.17,Telangana,Retail,263,45.01,121.01
Chandigarh,750.03,81,Small,11-01-2020,10,Ghee,Amul,486.43,27.23,13245.4889,129,Ambient,20-12-2019,27-04-2020,384,25.51,9795.84,Kerala,Online,102,99.86,189.33
Maharashtra,987.14,52,Large,28-01-2021,7,Lassi,Sudha,524.71,49.39,25915.4269,17,Refrigerated,22-12-2020,08-01-2021,167,45.86,7658.62,Gujarat,Retail,357,33.58,118.33
Karnataka,783.65,77,Large,11-07-2022,7,Lassi,Sudha,675.65,36.87,24911.2155,12,Refrigerated,28-05-2022,09-06-2022,671,32.92,22089.32,Rajasthan,Wholesale,4,10.25,55.87
Jharkhand,373.77,79,Medium,09-06-2021,6,Curd,Amul,267.21,27.31,7297.5051,6,Refrigerated,18-04-2021,24-04-2021,116,22.62,2623.92,Kerala,Wholesale,151,53.34,42.38
Chandigarh,819.45,42,Medium,23-02-2019,8,Buttermilk,Mother Dairy,801.25,34.8,27883.5,14,Refrigerated,25-01-2019,08-02-2019,292,38.9,11358.8,Telangana,Wholesale,509,46.12,32.45
Delhi,778.16,42,Large,11-12-2019,7,Lassi,Raj,112.8,91.62,10334.736,13,Refrigerated,30-10-2019,12-11-2019,104,93.93,9768.72,Bihar,Retail,8,92.48,104.82
Tamil Nadu,428.84,88,Medium,08-02-2022,7,Lassi,Sudha,797.52,92.04,73403.7408,13,Refrigerated,13-01-2022,26-01-2022,715,89.08,63692.2,Haryana,Wholesale,82,17.51,21.64
Chandigarh,389.58,36,Large,09-04-2021,5,Ice Cream,Amul,675.77,52.35,35376.5595,24,Frozen,20-02-2021,16-03-2021,6,54.41,326.46,Gujarat,Wholesale,669,15.3,106.03
Rajasthan,332.75,98,Medium,23-10-2019,1,Milk,Sudha,865.01,46.37,40110.5137,2,Polythene Packet,11-10-2019,13-10-2019,302,42.34,12786.68,Delhi,Retail,563,70.1,170.61
Chandigarh,524.45,67,Medium,20-09-2019,2,Butter,Amul,8.47,90.79,768.9913,38,Refrigerated,12-08-2019,19-09-2019,3,87.28,261.84,Delhi,Retail,5,54.58,128.52
Madhya Pradesh,816.9,21,Small,01-02-2021,9,Paneer,Amul,381.78,23.83,9097.8174,10,Refrigerated,20-12-2020,30-12-2020,82,20.25,1660.5,Delhi,Wholesale,299,39.14,188.98
Madhya Pradesh,343.51,12,Medium,03-05-2020,1,Milk,Raj,834.13,25.48,21253.6324,1,Polythene Packet,25-03-2020,26-03-2020,406,27.22,11051.32,Telangana,Online,428,58.16,128.69
Haryana,201.32,37,Medium,15-08-2019,7,Lassi,Amul,681.45,78.56,53534.712,16,Refrigerated,04-07-2019,20-07-2019,552,74.45,41096.4,Haryana,Retail,129,64.85,86.46
Chandigarh,827.42,82,Large,03-03-2019,9,Paneer,Raj,988.64,55.77,55136.4528,9,Refrigerated,25-02-2019,06-03-2019,262,52.57,13773.34,Telangana,Retail,726,78.44,138.43
Jharkhand,327.49,65,Medium,28-11-2019,8,Buttermilk,Mother Dairy,410.48,41.31,16956.9288,11,Refrigerated,27-10-2019,07-11-2019,141,43.02,6065.82,Delhi,Online,269,62.67,83.4
Rajasthan,226.52,53,Large,08-03-2021,5,Ice Cream,Dodla Dairy,351.11,58.25,20452.1575,29,Frozen,03-03-2021,01-04-2021,305,62.31,19004.55,Rajasthan,Online,46,51.48,147.89
Rajasthan,338.65,79,Large,16-01-2020,8,Buttermilk,Mother Dairy,83.31,62.03,5167.7193,13,Refrigerated,14-01-2020,27-01-2020,62,65.24,4044.88,West Bengal,Retail,21,21.47,112.76
Delhi,672.52,32,Medium,07-01-2019,2,Butter,Amul,30.69,89.8,2755.962,29,Frozen,28-11-2018,27-12-2018,22,92.23,2029.06,Uttar Pradesh,Retail,8,27.1,22.11
Kerala,976.62,76,Small,15-05-2021,9,Paneer,Sudha,9.78,82.89,810.6642,14,Refrigerated,31-03-2021,14-04-2021,2,85.42,170.84,Madhya Pradesh,Wholesale,7,50.62,197.39
Maharashtra,71.89,12,Small,22-09-2022,3,Cheese,Passion Cheese,953.21,48.71,46430.8591,42,Refrigerated,28-08-2022,09-10-2022,705,45.04,31753.2,Chandigarh,Retail,248,11.47,68.17
Telangana,386.08,98,Small,26-05-2021,7,Lassi,Amul,707.2,98.37,69567.264,12,Refrigerated,14-05-2021,26-05-2021,145,101.64,14737.8,Kerala,Retail,562,65.74,122.35
Maharashtra,968.19,48,Medium,20-04-2021,6,Curd,Raj,839.1,56.07,47048.337,6,Refrigerated,01-04-2021,07-04-2021,11,58.17,639.87,Gujarat,Online,828,25.18,144.48
Delhi,744.96,19,Medium,07-02-2021,10,Ghee,Mother Dairy,960.28,68.66,65932.8248,137,Ambient,13-01-2021,30-05-2021,956,69.79,66719.24,Tamil Nadu,Wholesale,4,38.11,199.68
Telangana,654.24,19,Large,22-09-2020,4,Yogurt,Palle2patnam,65.8,82.43,5423.894,30,Frozen,21-09-2020,21-10-2020,26,84.9,2207.4,Maharashtra,Online,39,67.7,95.52
Rajasthan,418.17,20,Large,17-11-2019,10,Ghee,Sudha,685.84,92.97,63762.5448,143,Ambient,07-11-2019,29-03-2020,634,95.09,60287.06,Chandigarh,Retail,51,78.67,99.91
Delhi,76.43,31,Small,18-12-2022,4,Yogurt,Dodla Dairy,754.25,20.21,15243.3925,28,Frozen,24-10-2022,21-11-2022,290,21.16,6136.4,Rajasthan,Online,464,75.4,82.78
Chandigarh,647.03,74,Small,02-01-2021,5,Ice Cream,Palle2patnam,750.7,86.58,64995.606,26,Frozen,04-12-2020,30-12-2020,696,83.73,58276.08,Delhi,Wholesale,54,31.69,187.36
Chandigarh,126.19,90,Large,17-12-2019,10,Ghee,Amul,838.85,61.21,51346.0085,147,Ambient,07-12-2019,02-05-2020,392,61.22,23998.24,Jharkhand,Wholesale,446,34.63,46
Delhi,948.51,94,Small,24-08-2019,2,Butter,Mother Dairy,791.17,45.01,35610.5617,37,Frozen,08-08-2019,14-09-2019,534,48.01,25637.34,Chandigarh,Wholesale,257,80.22,59.28
Uttar Pradesh,377.27,100,Medium,07-11-2021,1,Milk,Mother Dairy,62.79,95.03,5966.9337,21,Tetra Pack,17-09-2021,08-10-2021,16,93.22,1491.52,Bihar,Wholesale,46,10.47,152.91
Gujarat,266.22,58,Large,15-04-2020,4,Yogurt,Amul,931.71,45.36,42262.3656,26,Refrigerated,09-04-2020,05-05-2020,834,40.97,34168.98,Gujarat,Wholesale,97,47.75,30.21
Uttar Pradesh,291.16,77,Large,10-09-2020,7,Lassi,Raj,398.09,22.2,8837.598,14,Refrigerated,22-07-2020,05-08-2020,304,23.26,7071.04,Uttar Pradesh,Online,94,89.77,81.83
Rajasthan,132.6,22,Medium,10-09-2021,4,Yogurt,Mother Dairy,548.97,27.07,14860.6179,25,Refrigerated,31-08-2021,25-09-2021,386,25.29,9761.94,Telangana,Online,162,28.6,140.82
Maharashtra,966.32,79,Medium,11-05-2019,4,Yogurt,Amul,357.6,68.17,24377.592,27,Frozen,25-03-2019,21-04-2019,9,65.87,592.83,Chandigarh,Wholesale,348,82.26,113.24
Chandigarh,85.67,19,Medium,11-10-2021,10,Ghee,Raj,455.19,44.64,20319.6816,144,Ambient,10-09-2021,01-02-2022,420,48.13,20214.6,Madhya Pradesh,Online,35,40.44,148.64
Jharkhand,478.25,40,Large,15-06-2022,1,Milk,Raj,156.97,81.7,12824.449,1,Polythene Packet,06-06-2022,07-06-2022,103,80.26,8266.78,Chandigarh,Retail,53,38.15,44.82
Bihar,351.15,38,Large,14-09-2020,6,Curd,Sudha,120.72,44.7,5396.184,5,Refrigerated,05-08-2020,10-08-2020,78,48.75,3802.5,Bihar,Online,42,25.08,69.37
Karnataka,472.49,23,Small,10-07-2022,8,Buttermilk,Sudha,23.96,53.76,1288.0896,11,Refrigerated,31-05-2022,11-06-2022,23,56.57,1301.11,Madhya Pradesh,Online,0,41.42,186.26
Delhi,872.78,35,Large,11-05-2020,1,Milk,Sudha,373.21,38.88,14510.4048,1,Polythene Packet,10-05-2020,11-05-2020,166,36.18,6005.88,Rajasthan,Retail,207,26.68,44.52
Chandigarh,414.17,38,Small,03-08-2019,6,Curd,Mother Dairy,551.14,64.01,35278.4714,5,Refrigerated,16-06-2019,21-06-2019,203,65.1,13215.3,Telangana,Wholesale,348,89.68,119.95
Maharashtra,162.03,28,Medium,25-06-2021,4,Yogurt,Mother Dairy,595.93,35.46,21131.6778,27,Frozen,12-06-2021,09-07-2021,54,34.78,1878.12,Madhya Pradesh,Online,541,74.07,155.47
Haryana,829.55,32,Medium,02-07-2022,1,Milk,Amul,928.93,50.94,47319.6942,22,Tetra Pack,26-05-2022,17-06-2022,869,54.74,47569.06,Jharkhand,Online,59,97.61,158.99
Karnataka,315.14,24,Medium,09-10-2020,8,Buttermilk,Raj,118.22,20.18,2385.6796,12,Refrigerated,19-09-2020,01-10-2020,84,15.64,1313.76,Jharkhand,Online,34,40.9,157.94
Uttar Pradesh,716.54,90,Large,13-07-2019,3,Cheese,Amul,197.25,99.96,19717.11,29,Refrigerated,08-06-2019,07-07-2019,150,100.74,15111,Jharkhand,Wholesale,47,28.23,93.72
Gujarat,364.27,41,Small,10-03-2020,5,Ice Cream,Palle2patnam,69.59,95.3,6631.927,28,Frozen,20-02-2020,19-03-2020,36,98.67,3552.12,Gujarat,Retail,33,62.77,87.86
Uttar Pradesh,605.79,38,Small,02-04-2019,2,Butter,Amul,705.44,77.71,54819.7424,40,Refrigerated,17-02-2019,29-03-2019,279,80.91,22573.89,Tamil Nadu,Retail,426,10.55,66.62
Jharkhand,175.31,69,Large,09-06-2020,6,Curd,Amul,336.47,65.23,21947.9381,6,Refrigerated,18-04-2020,24-04-2020,108,61.59,6651.72,West Bengal,Wholesale,228,63.42,100.69
Jharkhand,908.72,39,Large,03-10-2021,4,Yogurt,Mother Dairy,616.07,80.74,49741.4918,27,Frozen,01-09-2021,28-09-2021,362,83.85,30353.7,Uttar Pradesh,Wholesale,254,61.49,132.2
West Bengal,11.73,54,Small,17-08-2020,10,Ghee,Mother Dairy,343.94,43.79,15061.1326,135,Ambient,21-07-2020,03-12-2020,320,43.76,14003.2,Karnataka,Retail,23,44.92,24.81
Jharkhand,53.08,95,Medium,05-01-2022,1,Milk,Sudha,999.78,49.06,49049.2068,2,Polythene Packet,19-12-2021,21-12-2021,499,48.14,24021.86,Rajasthan,Online,500,39.56,41.02
Rajasthan,746.23,98,Medium,18-10-2022,3,Cheese,Amul,211.51,63.08,13342.0508,59,Refrigerated,28-08-2022,26-10-2022,206,64.22,13229.32,West Bengal,Online,5,81.94,85.62
Uttar Pradesh,880.7,78,Large,15-05-2022,4,Yogurt,Palle2patnam,504.33,76.58,38621.5914,28,Refrigerated,20-04-2022,18-05-2022,490,81.37,39871.3,Delhi,Retail,14,73.82,49.34
Gujarat,776.36,17,Medium,25-08-2021,2,Butter,Parag Milk Foods,535.1,13.66,7309.466,39,Frozen,08-07-2021,16-08-2021,18,8.83,158.94,Jharkhand,Retail,517,32.01,46.46
Uttar Pradesh,951.4,30,Large,11-03-2019,10,Ghee,Sudha,729.21,16.37,11937.1677,85,Ambient,18-02-2019,14-05-2019,458,12.86,5889.88,Rajasthan,Wholesale,271,52.59,188.98
Maharashtra,53.06,62,Medium,01-11-2020,8,Buttermilk,Sudha,149.16,86.32,12875.4912,13,Refrigerated,19-10-2020,01-11-2020,140,81.47,11405.8,Uttar Pradesh,Online,9,25.63,185.72
Gujarat,484.34,61,Small,06-09-2019,9,Paneer,Raj,674.12,43.22,29135.4664,11,Refrigerated,13-08-2019,24-08-2019,230,42.79,9841.7,Gujarat,Retail,444,99.99,131.43
Tamil Nadu,291.79,55,Large,16-09-2020,3,Cheese,Dynamix Dairies,627.29,28.93,18147.4997,30,Refrigerated,01-09-2020,01-10-2020,465,29.8,13857,West Bengal,Online,162,27.19,46.76
Madhya Pradesh,84.24,77,Small,25-10-2019,6,Curd,Raj,865.53,45.95,39771.1035,7,Refrigerated,30-08-2019,06-09-2019,581,49.38,28689.78,Telangana,Wholesale,284,51.12,123.76
West Bengal,240.04,89,Large,10-11-2019,8,Buttermilk,Raj,582.19,52.51,30570.7969,13,Refrigerated,01-10-2019,14-10-2019,556,53.75,29885,Madhya Pradesh,Retail,26,21.15,91.16
Karnataka,728.93,94,Large,23-11-2022,1,Milk,Sudha,280.1,78.72,22049.472,29,Tetra Pack,20-11-2022,19-12-2022,163,75.83,12360.29,Rajasthan,Retail,117,39.3,119.41
Kerala,845.18,66,Medium,06-05-2020,7,Lassi,Sudha,331.3,67.3,22296.49,12,Refrigerated,07-04-2020,19-04-2020,135,67.91,9167.85,Delhi,Retail,196,82.87,190.42
Delhi,872.75,29,Large,23-11-2019,1,Milk,Sudha,229.17,29.49,6758.2233,28,Tetra Pack,28-10-2019,25-11-2019,159,34.04,5412.36,Kerala,Wholesale,70,28.29,22.58
West Bengal,287.81,88,Medium,22-07-2022,3,Cheese,Dynamix Dairies,38.2,75.82,2896.324,44,Refrigerated,09-06-2022,23-07-2022,3,77.91,233.73,Rajasthan,Online,35,72.22,38.25
Gujarat,305.81,66,Medium,05-07-2021,6,Curd,Amul,242.26,26.85,6504.681,7,Refrigerated,01-07-2021,08-07-2021,158,25.72,4063.76,Jharkhand,Retail,84,58.3,186.84
Madhya Pradesh,845.65,48,Medium,18-10-2022,3,Cheese,Britannia Industries,898.01,25.44,22845.3744,82,Frozen,04-09-2022,25-11-2022,674,27.1,18265.4,Uttar Pradesh,Online,224,70.14,111.3
Chandigarh,670.22,73,Large,27-02-2020,7,Lassi,Amul,648.13,99.03,64184.3139,16,Refrigerated,08-01-2020,24-01-2020,597,103.49,61783.53,Kerala,Retail,51,84.53,83.17
Tamil Nadu,813.84,29,Medium,16-11-2019,10,Ghee,Mother Dairy,303.9,35.1,10666.89,147,Ambient,05-10-2019,29-02-2020,296,36.16,10703.36,Rajasthan,Wholesale,7,87.43,112.99
Uttar Pradesh,104.95,58,Medium,13-11-2022,2,Butter,Parag Milk Foods,615.24,95.65,58847.706,28,Frozen,23-09-2022,21-10-2022,281,96.42,27094.02,Delhi,Retail,334,46.01,130.83
Gujarat,178.74,14,Large,21-04-2022,1,Milk,Raj,105.47,27.19,2867.7293,1,Polythene Packet,05-03-2022,06-03-2022,50,27,1350,West Bengal,Wholesale,55,79.2,64.33
Chandigarh,790.64,46,Large,21-04-2022,4,Yogurt,Amul,928.58,82.34,76459.2772,24,Refrigerated,31-03-2022,24-04-2022,552,78.38,43265.76,Gujarat,Retail,376,15.44,24.86
Karnataka,836.93,43,Large,16-06-2020,4,Yogurt,Dodla Dairy,862.73,98.65,85108.3145,23,Refrigerated,11-06-2020,04-07-2020,7,99.66,697.62,Chandigarh,Online,855,14.71,51.89
Jharkhand,490.22,66,Large,21-08-2021,1,Milk,Sudha,904.53,21.58,19519.7574,2,Polythene Packet,13-07-2021,15-07-2021,129,22.4,2889.6,Maharashtra,Online,775,97.75,180.13
Karnataka,953.38,37,Small,09-01-2019,9,Paneer,Mother Dairy,969.09,61.34,59443.9806,7,Refrigerated,08-12-2018,15-12-2018,779,60.15,46856.85,Kerala,Wholesale,190,32.08,128.68
Rajasthan,760.89,72,Large,13-08-2022,3,Cheese,Amul,215.99,27.78,6000.2022,74,Refrigerated,24-07-2022,06-10-2022,39,23.87,930.93,Madhya Pradesh,Wholesale,176,89.31,132.49
Delhi,521.82,82,Large,05-06-2019,8,Buttermilk,Sudha,394.68,85.32,33674.0976,12,Refrigerated,03-06-2019,15-06-2019,104,81.24,8448.96,West Bengal,Online,290,68.67,94
Chandigarh,479.23,23,Large,26-01-2019,1,Milk,Mother Dairy,86.33,48.91,4222.4003,28,Tetra Pack,11-12-2018,08-01-2019,84,45.16,3793.44,Rajasthan,Online,2,32.22,91.81
Chandigarh,782.36,28,Large,09-06-2021,3,Cheese,Amul,448.41,64.9,29101.809,39,Refrigerated,12-04-2021,21-05-2021,36,63.9,2300.4,Maharashtra,Online,412,67.42,105.24
Tamil Nadu,532.8,52,Large,19-12-2022,8,Buttermilk,Mother Dairy,959.1,80.71,77408.961,14,Refrigerated,09-12-2022,23-12-2022,263,81.78,21508.14,Rajasthan,Retail,696,17.87,52.32
Delhi,423.46,46,Large,18-11-2020,5,Ice Cream,Amul,950.71,38.42,36526.2782,24,Frozen,01-11-2020,25-11-2020,459,36.69,16840.71,Gujarat,Retail,491,41.25,182.23
Madhya Pradesh,577.76,13,Small,27-12-2019,5,Ice Cream,Dodla Dairy,661.7,76.05,50322.285,29,Frozen,08-12-2019,06-01-2020,275,73.34,20168.5,Chandigarh,Online,386,54.28,31
Chandigarh,540.29,58,Medium,11-05-2022,8,Buttermilk,Sudha,682.38,46.2,31525.956,8,Refrigerated,17-04-2022,25-04-2022,313,41.5,12989.5,Uttar Pradesh,Wholesale,369,24.91,28.2
Kerala,299.33,58,Small,04-04-2021,1,Milk,Sudha,662.83,73.51,48724.6333,23,Tetra Pack,21-03-2021,13-04-2021,131,75.47,9886.57,Uttar Pradesh,Online,531,61.61,147.88
Delhi,811.18,73,Medium,18-07-2020,8,Buttermilk,Raj,41.39,67.85,2808.3115,13,Refrigerated,19-05-2020,01-06-2020,9,65.07,585.63,Gujarat,Online,32,44.27,67.3
Bihar,603.54,44,Small,11-11-2021,6,Curd,Sudha,408.73,34.92,14272.8516,7,Refrigerated,01-11-2021,08-11-2021,187,34,6358,Chandigarh,Online,221,11.06,123.37
Chandigarh,995.55,90,Medium,13-03-2019,6,Curd,Raj,576.03,58.83,33887.8449,5,Refrigerated,19-02-2019,24-02-2019,332,62.34,20696.88,West Bengal,Retail,244,65.34,164.95
Delhi,550.58,89,Small,01-03-2022,1,Milk,Sudha,59.99,51.59,3094.8841,27,Tetra Pack,25-02-2022,24-03-2022,22,51.83,1140.26,Karnataka,Online,37,30.77,164.92
Maharashtra,34.41,92,Large,19-11-2019,2,Butter,Parag Milk Foods,771.93,19.17,14797.8981,33,Frozen,26-10-2019,28-11-2019,554,15.52,8598.08,Chandigarh,Retail,217,30.82,172.32
West Bengal,518.23,59,Medium,21-08-2020,8,Buttermilk,Sudha,833.58,20.43,17030.0394,10,Refrigerated,28-07-2020,07-08-2020,463,16.51,7644.13,Madhya Pradesh,Retail,370,51.4,117.04
Telangana,898.35,61,Medium,02-03-2021,6,Curd,Mother Dairy,520.56,91.25,47501.1,7,Refrigerated,05-01-2021,12-01-2021,358,91.27,32674.66,Uttar Pradesh,Online,162,26.62,48.34
Delhi,769.43,55,Large,03-09-2022,3,Cheese,Dynamix Dairies,252.87,85.18,21539.4666,81,Refrigerated,08-08-2022,28-10-2022,137,87.69,12013.53,Gujarat,Wholesale,115,31.94,47.74
Maharashtra,699.19,96,Small,10-06-2021,9,Paneer,Amul,571.27,59.43,33950.5761,7,Refrigerated,15-04-2021,22-04-2021,217,64.24,13940.08,Rajasthan,Retail,354,59.8,124.23
Madhya Pradesh,603.11,73,Medium,18-11-2019,7,Lassi,Amul,333.33,16.94,5646.6102,13,Refrigerated,25-09-2019,08-10-2019,127,12.67,1609.09,Madhya Pradesh,Wholesale,206,82.77,106.76
Madhya Pradesh,713.33,48,Large,09-05-2022,3,Cheese,Amul,541.95,76.59,41507.9505,50,Frozen,20-03-2022,09-05-2022,467,79.62,37182.54,Tamil Nadu,Online,74,73.6,33.07
Gujarat,587.1,22,Large,02-03-2021,9,Paneer,Sudha,374.12,49.82,18638.6584,8,Refrigerated,07-02-2021,15-02-2021,148,51.77,7661.96,Tamil Nadu,Wholesale,226,81.19,36.33
